name,tradingsymbol
20 MICRONS,20MICRONS
21ST CENTURY MGMT SERVICE,21STCENMGM
360 ONE WAM,360ONE
3I INFOTECH,3IINFOLTD
3M INDIA,3MINDIA
3P LAND HOLDINGS,3PLAND
5PAISA CAPITAL,5PAISA
63 MOONS TECHNOLOGIES,63MOONS
AADHAR HOUSING FINANCE L,AADHARHFC
AAKASH EXPLORATION SER L,AAKASH
AARON INDUSTRIES,AARON
AARTECH SOLONICS,AARTECH
AARTI DRUGS,AARTIDRUGS
AARTI INDUSTRIES,AARTIIND
AARTI PHARMALABS,AARTIPHARM
AARTI SURFACTANTS,AARTISURF
AARVI ENCON,AARVI
AAVAS FINANCIERS,AAVAS
ABB INDIA,ABB
ABBOTT INDIA,ABBOTINDIA
ADITYA BIRLA CAPITAL,ABCAPITAL
A B COTSPIN INDIA,ABCOTS
ALLIED BLEND N DISTILS L,ABDL
ADITYA BIRLA FASHION & RT,ABFRL
BIRLASLAMC - ABGSEC,ABGSEC
A B INFRABUILD,ABINFRA
ADITYA BIRLA LIFES BRAN L,ABLBL
ADITYA BIRLA REAL EST,ABREL
ADIT BIRL SUN LIF AMC,ABSLAMC
BIRLASLAMC - ABSLLIQUID,ABSLLIQUID
BIRLASLAMC - ABSLNN50ET,ABSLNN50ET
BIRLASLAMC-ABSLPSE,ABSLPSE
ACC,ACC
ACCELYA SOLN INDIA,ACCELYA
ACCURACY SHIPPING,ACCURACY
ACTION CONST EQUIP,ACE
ACE INTEGRATED SOLU.,ACEINTEG
ARCHEAN CHEMICAL IND,ACI
ALLCARGO GATI,ACLGATI
ACME SOLAR HOLDINGS,ACMESOLAR
ACUTAAS CHEMICALS,ACUTAAS
ADANI ENERGY SOLUTION,ADANIENSOL
ADANI ENTERPRISES,ADANIENT
ADANI GREEN ENERGY,ADANIGREEN
ADANI PORT & SEZ,ADANIPORTS
ADANI POWER,ADANIPOWER
ADF FOODS,ADFFOODS
ARCHIDPLY DECOR,ADL
ADOR WELDING,ADOR
ADROIT INFOTECH,ADROITINFO
ALLIED DIGITAL SERV.,ADSL
ADVANI HOT.& RES.(I),ADVANIHOTR
ADVANCED ENZYME TECH,ADVENZYMES
AEGIS LOGISTICS,AEGISLOG
AEGIS VOPAK TERMINALS,AEGISVOPAK
AEROFLEX ENTERPRISES,AEROENTER
AEROFLEX INDUSTRIES,AEROFLEX
AEROFLEX NEU,AERONEU
AETHER INDUSTRIES,AETHER
AFCONS INFRASTRUCTURE,AFCONS
AFFLE 3I,AFFLE
AFFORD ROBO & AUTO,AFFORDABLE
AKME FINTRADE (INDIA),AFIL
ABANS FINANCIAL SRVCS,AFSL
AGARWAL INDS CORP,AGARIND
DR AGARWALS HEALTH CARE L,AGARWALEYE
AGI GREENPAC,AGI
AGI INFRA,AGIIL
AGRI-TECH (INDIA),AGRITECH
AHLADA ENGINEERS,AHLADA
ASIAN HOTELS (EAST),AHLEAST
AHLUWALIA CONT IND,AHLUCONT
AIA ENGINEERING,AIAENG
AUTHUM INVEST & INFRA,AIIL
AIRAN,AIRAN
AIRO LAM,AIROLAM
AJANTA PHARMA,AJANTPHARM
AJAX ENGINEERING,AJAXENGG
AJMERA REALTY & INF I,AJMERA
AJOONI BIOTECH,AJOONI
AKASH INFRA-PROJECTS,AKASH
AKG EXIM,AKG
AKI INDIA,AKI
AKSHARCHEM INDIA,AKSHARCHEM
AKSH OPTIFIBRE,AKSHOPTFBR
AKUMS DRUGS AND PHARMA L,AKUMS
AKZO NOBEL INDIA,AKZOINDIA
ALANKIT,ALANKIT
ALBERT DAVID,ALBERTDAVD
ALEMBIC,ALEMBICLTD
ALICON CASTALLOY,ALICON
ALIVUS LIFE SCIENCES,ALIVUS
ALKALI METALS,ALKALI
ALKEM LABORATORIES,ALKEM
ALKYL AMINES CHEM.,ALKYLAMINE
ALLCARGO LOGISTICS,ALLCARGO
ALLDIGI TECH,ALLDIGI
ALL TIME PLASTICS,ALLTIME
ALMONDZ GLOBAL SEC,ALMONDZ
ALOK INDUSTRIES,ALOKINDS
ALPA LABORATORIES,ALPA
KOTAKMAMC - KOTAKALPHA,ALPHA
ALPHAGEO (INDIA),ALPHAGEO
ICICIPRAMC - ICICIALPLV,ALPL30IETF
AMANTA HEALTHCARE,AMANTA
AMBER ENTERPRISES (I),AMBER
AMBICA AGAR & AROMAINDLTD,AMBICAAGAR
AMBIKA COTTON MILL,AMBIKCO
AMBUJA CEMENTS,AMBUJACEM
AMD INDUSTRIES,AMDIND
AMJ LAND HOLDINGS,AMJLAND
AMINES & PLASTICIZERS,AMNPLST
AMRUTAJAN HEALTH,AMRUTANJAN
ANAND RATHI WEALTH,ANANDRATHI
ANANT RAJ,ANANTRAJ
ANDHRA PAPER,ANDHRAPAP
ANDHRA SUGARS,ANDHRSUGAR
ANGEL ONE,ANGELONE
ANIK INDUSTRIES,ANIKINDS
ANMOL INDIA,ANMOL
ANTELOPUS SELAN ENRGY,ANTELOPUS
ANTARCTICA,ANTGRAPHIC
ANTHEM BIOSCIENCES,ANTHEM
ANUH PHARMA,ANUHPHR
THE ANUP ENGINEERING,ANUP
ANUPAM RASAYAN INDIA,ANURAS
AONEAMC - AONEGOLD,AONEGOLD
AONEAMC - AONELIQUID,AONELIQUID
AONEAMC - AONENIFTY,AONENIFTY
AONEAMC - AONETOTAL,AONETOTAL
APAR INDUSTRIES,APARINDS
ANJANI PORTLAND CEM,APCL
APCOTEX INDUSTRIES LIMITE,APCOTEXIND
APEX FROZEN FOODS,APEX
APL APOLLO TUBES,APLAPOLLO
ALEMBIC PHARMA,APLLTD
APOLLO MICRO SYSTEMS,APOLLO
APOLLO HOSPITALS ENTER. L,APOLLOHOSP
APOLLO PIPES,APOLLOPIPE
APOLLO TYRES,APOLLOTYRE
APOLLO SINDOORI HOTEL,APOLSINHOT
APTECH,APTECHT
APTUS VALUE HSG FIN I,APTUS
ARCHIDPLY IND.,ARCHIDPLY
ARCHIES,ARCHIES
AMARA RAJA ENERGY MOB,ARE&M
RAJDARSHAN INDUSTRIES,ARENTERP
ARIES AGRO,ARIES
ARIHANT CAPITAL MKTS,ARIHANTCAP
ARIHANT SUPERSTRUCT,ARIHANTSUP
ARISINFRA SOLUTIONS,ARISINFRA
ARKADE DEVELOPERS,ARKADE
ARMAN FIN SERV,ARMANFIN
ARO GRANITE IND.,AROGRANITE
ARROW GREENTECH,ARROWGREEN
ANAND RATHI SH N STK BR L,ARSSBL
ARTEMIS MED SERVICE,ARTEMISMED
ART NIRMAN,ARTNIRMAN
ARVEE LABORATORIES I,ARVEE
ARVIND,ARVIND
ARVIND FASHIONS,ARVINDFASN
ARVIND SMARTSPACES,ARVSMART
ASAHI INDIA GLASS,ASAHIINDIA
ASAHI SONGWON COLOR,ASAHISONG
AUTOMOTIVE STAMPINGS & AS,ASAL
ASSO ALCOHOLS & BREW,ASALCBR
ASHAPURA MINECHEM,ASHAPURMIN
ASHIANA HOUSING,ASHIANA
ASHIMA,ASHIMASYN
ASHOKA BUILDCON,ASHOKA
ASHOKA METCAST,ASHOKAMET
ASHOK LEYLAND,ASHOKLEY
ASIAN ENERGY SERVICES,ASIANENE
ASIAN HOTELS (NORTH),ASIANHOTNR
ASIAN PAINTS,ASIANPAINT
ASIAN GRANITO IND.,ASIANTILES
ASK AUTOMOTIVE,ASKAUTOLTD
ASPINWALL & CO,ASPINWALL
ASTEC LIFESCIENCES,ASTEC
ASTER DM HEALTHCARE,ASTERDM
ASTRAL,ASTRAL
ASTRA MICROWAVE,ASTRAMICRO
ASTRAZENECA PHARMA IND LT,ASTRAZEN
ASTRON PAPER BORD MIL,ASTRON
ATAL REALTECH,ATALREAL
ATAM VALVES,ATAM
ADANI TOTAL GAS,ATGL
ATHER ENERGY,ATHERENERG
ALLCARGO TERMINALS,ATL
ATLANTA ELECTRICALS,ATLANTAELE
ATLAS CYCLE (HARYANA),ATLASCYCLE
ATUL,ATUL
ATUL AUTO,ATULAUTO
AU SMALL FINANCE BANK,AUBANK
AURI GROW INDIA,AURIGROW
AURIONPRO SOLN,AURIONPRO
AUROBINDO PHARMA,AUROPHARMA
AURUM PROPTECH,AURUM
AUSOM ENTERPRISE,AUSOMENT
AUTOMOTIVE AXLES,AUTOAXLES
ICICIPRAMC - ICICIAUTO,AUTOIETF
AUTOLINE INDUSTRIES,AUTOIND
AVADH SUG & ENERGY,AVADHSUGAR
AVALON TECHNOLOGIES,AVALON
AVANTEL,AVANTEL
AVANTI FEEDS,AVANTIFEED
AVG LOGISTICS,AVG
ADITYA VISION,AVL
AVONMORE CAP&MGT SERV,AVONMORE
AVRO INDIA,AVROIND
AVT NATURAL PRODUCTS,AVTNPL
AWFIS SPACE SOLUTIONS,AWFIS
ANTONY WASTE HDG CELL,AWHCL
AWL AGRI BUSINESS,AWL
AXIS BANK,AXISBANK
AXISAMC - AXISILVER,AXISILVER
AXISAMC - AXISNIFTY,AXISNIFTY
AXISAMC - AXISVALUE,AXISVALUE
AXITA COTTON,AXITA
AXISAMC - AXSENSEX,AXSENSEX
AYM SYNTEX,AYMSYNTEX
AZAD ENGINEERING,AZAD
B.A.G FILMS AND MEDIA,BAGFILMS
BAID FINSERV,BAIDFIN
BAJAJ CONSUMER CARE,BAJAJCON
BAJAJ ELECT.LTD,BAJAJELEC
BAJAJ FINSERV,BAJAJFINSV
BAJAJ HEALTHCARE,BAJAJHCARE
BAJAJ HOUSING FINANCE,BAJAJHFL
BAJAJ HINDUSTHAN SUGAR LT,BAJAJHIND
BAJAJ HOLDINGS & INVS,BAJAJHLDNG
INDEF MANUFACTURING,BAJAJINDEF
BAJEL PROJECTS,BAJEL
BAJAJ FINANCE,BAJFINANCE
SHREE TIRUPATI BALAJEE L,BALAJEE
BALAJI TELEFILMS,BALAJITELE
BALAJI AMINES,BALAMINES
BALAXI PHARMA,BALAXI
BALKRISHNA PAPER MILLS L,BALKRISHNA
BALKRISHNA IND.,BALKRISIND
BALMER LAWRIE & CO,BALMLAWRIE
BAL PHARMA,BALPHARMA
BALRAMPUR CHINI MILLS,BALRAMCHIN
BALU FORGE INDUSTRIES,BALUFORGE
BANARAS BEADS,BANARBEADS
BANNARI AMMAN SUGARS,BANARISUG
BANCO PRODUCTS (I),BANCOINDIA
BANDHAN BANK,BANDHANBNK
BANG OVERSEAS,BANG
BANKA BIOLOO,BANKA
BANK OF BARODA,BANKBARODA
ICICIPRAMC - IPRU5008,BANKIETF
BANK OF INDIA,BANKINDIA
MIRAEAMC - BANKPSU,BANKPSU
BANSAL WIRE INDUSTRIES L,BANSALWIRE
BANSWARA SYNTEX,BANSWRAS
BASF INDIA,BASF
BANNARI AM SPIN MILL,BASML
BATA INDIA,BATAINDIA
BAYER CROPSCIENCE,BAYERCROP
BHARAT BIJLEE,BBL
BARODABNP - BBNPPGOLD,BBNPPGOLD
BLACK BOX,BBOX
BOMBAY BURMAH TRADING COR,BBTC
B&B TRIPLEWALL CONT,BBTCL
BRIGHTCOM GROUP,BCG
BCL INDUSTRIES,BCLIND
BHARAT DYNAMICS,BDL
BEARDSELL,BEARDSELL
MRS BECTORS FOOD SPE,BECTORFOOD
BEDMUTHA INDUST,BEDMUTHA
BHARAT ELECTRONICS,BEL
BELLA CASA FASH AND RET L,BELLACASA
BELRISE INDUSTRIES,BELRISE
BEML,BEML
BHANSALI ENG. POLYMERS LT,BEPL
BERGER PAINTS (I),BERGEPAINT
BEST AGROLIFE,BESTAGRO
BF INVESTMENT,BFINVEST
BF UTILITIES,BFUTILITIE
BHAGIRADHA CHEM & INDS L,BHAGCHEM
BHAGERIA INDUSTRIES,BHAGERIA
BHANDARI HOSIERY EXP,BHANDARI
BHARAT FORGE,BHARATFORG
BHARAT RASAYAN,BHARATRAS
BHARAT SEATS,BHARATSE
BHARAT WIRE ROPES,BHARATWIRE
BHARTI AIRTEL,BHARTIARTL
BHARTI HEXACOM,BHARTIHEXA
BHEL,BHEL
BIGBLOC CONSTRUCTION,BIGBLOC
BIKAJI FOODS INTERN,BIKAJI
BHARTIYA INTERNATIONAL,BIL
BIL VYAPAR,BILVYAPAR
BIOCON,BIOCON
BIOFIL CHEM & PHARMA,BIOFILCHEM
BIRLA CABLE,BIRLACABLE
BIRLA CORPORATION,BIRLACORPN
ADITYA BIRLA MONEY,BIRLAMONEY
BIRLANU,BIRLANU
BLACKBUCK,BLACKBUCK
BEML LAND ASSETS,BLAL
BLB,BLBLIMITED
BLISS GVS PHARMA,BLISSGVS
B.L.KASHYAP & SON,BLKASHYAP
BLS INTL SERVS,BLS
BLS E-SERVICES,BLSE
BLUE DART EXPRESS,BLUEDART
BLUE JET HEALTHCARE,BLUEJET
BLUE STAR,BLUESTARCO
BLUESTONE JEWEL LFSTL,BLUESTONE
BLUSPRING ENTERPRISES,BLUSPRING
BMW VENTURES,BMWVENTLTD
BODAL CHEMICALS,BODALCHEM
BOHRA INDUSTRIES,BOHRAIND
BOMBAY DYEING & MFG. CO L,BOMDYEING
BORANA WEAVES,BORANA
BOROSIL,BOROLTD
BOROSIL RENEWABLES,BORORENEW
BOROSIL SCIENTIFIC,BOROSCI
BOSCH,BOSCHLTD
BHARAT PETROLEUM CORP  LT,BPCL
BPL,BPL
BRIGADE ENTER.,BRIGADE
BRIGADE HOTEL VENTURE,BRIGHOTEL
BRITANNIA INDUSTRIES,BRITANNIA
BHARAT ROAD NETWORK,BRNL
BROOKS LAB,BROOKS
BSE,BSE
ICICIPRAMC - ICICI500,BSE500IETF
BOMBAY SUPER HYBRID SEEDS,BSHSL
BSL,BSL
BIRLASOFT,BSOFT
BODHI TREE MULTIMEDIA,BTML
BTRFLY GANDHI APPL,BUTTERFLY
THE BYKE HOSPITALITY,BYKE
CALIFORNIA SOFTWARE CO LT,CALSOFT
CAMLIN FINE SCIENCES,CAMLINFINE
CAMPUS ACTIVEWEAR,CAMPUS
COMPUTER AGE MNGT SER,CAMS
CANARA BANK,CANBK
CAN FIN HOMES,CANFINHOME
CANARA HSBC LIFE INS CO L,CANHLIFE
CANTABIL RETAIL,CANTABIL
CAPACITE INFRAPROJECT,CAPACITE
CAPITAL SMALL FIN BANK L,CAPITALSFB
CAPLIN POINT LAB,CAPLIPOINT
CAPITAL TRUST,CAPTRUST
CARBORUNDUM UNIVERSAL,CARBORUNIV
CARE RATINGS,CARERATING
CARRARO INDIA,CARRARO
CARTRADE TECH,CARTRADE
CARYSIL,CARYSIL
CASTROL INDIA,CASTROLIND
CONS. CONST. CONSORT,CCCL
COUNTRY CLUB HOSP HOL,CCHHL
CCL PRODUCTS (I),CCL
CENTRAL DEPO SER (I),CDSL
CEAT,CEATLTD
CEIGALL INDIA,CEIGALL
CELEBRITY FASHIONS,CELEBRITY
CELLO WORLD,CELLO
CEMINDIA PROJECTS,CEMPRO
CENTURY ENKA,CENTENKA
CENTRAL BANK OF INDIA,CENTRALBK
CENTRUM CAPITAL,CENTRUM
CENTUM ELECTRONICS,CENTUM
CENTURY PLYBOARDS (I),CENTURYPLY
CERA SANITARYWARE,CERA
CESC,CESC
CONCORD ENVIRO SYSTEMS L,CEWATER
CAPRI GLOBAL CAPITAL,CGCL
CG POWER AND IND SOL,CGPOWER
CHALET HOTELS,CHALET
CHAMBAL FERTILIZERS,CHAMBLFERT
CHEMBOND MATERIALTECH,CHEMBOND
CHEMBOND CHEMICAL,CHEMBONDCH
CHEMCON SPECIAL CHEM,CHEMCON
CHEMFAB ALKALIS,CHEMFAB
CHEMPLAST SANMAR,CHEMPLASTS
CHENNAI PETROLEUM CORP LT,CHENNPETRO
CHEVIOT COMPANY,CHEVIOT
CHOICE INTERNATIONAL,CHOICEIN
CHOLAMANDALAM IN & FIN CO,CHOLAFIN
CHOLAMANDALAM FIN HOL,CHOLAHLDNG
CIE AUTOMOTIVE INDIA,CIEINDIA
CAPITAL INDIA FINANCE,CIFL
CIGNITI TECHNOLOGIES,CIGNITITEC
CINELINE INDIA,CINELINE
CINEVISTA,CINEVISTA
CIPLA,CIPLA
CLEAN SCIENCE & TECH,CLEAN
CHAMAN LAL SETIA EXP,CLSEL
CMS INFO SYSTEMS,CMSINFO
COAL INDIA,COALINDIA
COASTAL CORPORATION,COASTCORP
COCHIN SHIPYARD,COCHINSHIP
COFORGE,COFORGE
COHANCE LIFESCIENCES,COHANCE
COLGATE PALMOLIVE,COLPAL
ICICIPRAMC - ICICICOMMO,COMMOIETF
COMPUCOM SOFTWARE,COMPUSOFT
COMMERCIAL SYN BAGS,COMSYN
CONTAINER CORP OF IND,CONCOR
CONCORD BIOTECH,CONCORDBIO
CONFIDENCE PETRO IND,CONFIPET
KOTAKMAMC - KOTAKCONS,CONS
CONSO. FIN. & HOLD.,CONSOFINVT
MIRAEAMC - CONSUMER,CONSUMER
ICICIPRAMC - ICICICONSU,CONSUMIETF
CONTROL PRINT,CONTROLPR
CORAL INDIA FIN & HOUS LT,CORALFINAC
CORDS CABLE INDUS,CORDSCABLE
COROMANDEL INTERNTL.,COROMANDEL
COSMO FIRST,COSMOFIRST
COUNTRY CONDO S,COUNCODOS
CP CAPITAL,CPCAP
CAREER POINT EDUTECH,CPEDU
ADITYA INFOTECH,CPPLUS
CRAFTSMAN AUTOMATION,CRAFTSMAN
CANARA ROBECO AMC,CRAMC
CREATIVE NEWTECH,CREATIVE
CREATIVE EYE,CREATIVEYE
CREDITACCESS GRAMEEN,CREDITACC
CREST VENTURES,CREST
CRISIL,CRISIL
CRIZAC,CRIZAC
CROMPT GREA CON ELEC,CROMPTON
CROWN LIFTERS,CROWN
CSB BANK,CSBBANK
CSL FINANCE,CSLFINANCE
CAMBRIDGE TECH ENTER,CTE
CITY UNION BANK,CUB
CUBEX TUBINGS,CUBEXTUB
CUMMINS INDIA,CUMMINSIND
CUPID,CUPID
CYIENT,CYIENT
CYIENT DLM,CYIENTDLM
DABUR INDIA,DABUR
DALMIA BHARAT,DALBHARAT
DALMIA BHARAT SUG IN,DALMIASUG
DAM CAPITAL ADVISORS,DAMCAPITAL
DAMODAR INDUSTRIES,DAMODARIND
DANGEE DUMS,DANGEE
DATAMATICS GLOBAL SER,DATAMATICS
DATA PATTERNS INDIA,DATAPATTNS
DAVANGERE SUGAR COMPANY L,DAVANGERE
D.B.CORP,DBCORP
DEEPAK BUILDERS & ENG I L,DBEIL
DILIP BUILDCON,DBL
DHAMPUR BIO ORGANICS,DBOL
VALOR ESTATE,DBREALTY
DB (INT) STOCK BROKERS,DBSTOCKBRO
DISHMAN CARBO AMCIS,DCAL
DCB BANK,DCBBANK
DC INFOTECH AND COMUN,DCI
DCM,DCM
DCM FINANCIAL SERVICES LT,DCMFINSERV
DCM NOUVELLE,DCMNVL
DCM SHRIRAM,DCMSHRIRAM
DCM SHRIRAM IND,DCMSRIND
DCW,DCW
DCX SYSTEMS,DCXINDIA
DDEV PLASTIKS IND,DDEVPLSTIK
DECCAN CEMENTS,DECCANCE
DEE DEVELOPMENT ENG,DEEDEV
DEEPAK FERTILIZERS & PETR,DEEPAKFERT
DEEPAK NITRITE,DEEPAKNTR
DEEP INDUSTRIES,DEEPINDS
DELHIVERY,DELHIVERY
DELPHI WORLD MONEY,DELPHIFX
DELTA CORP,DELTACORP
DELTA MANUFACTURING,DELTAMAGNT
DEN NETWORKS,DEN
DE NORA INDIA,DENORA
DENTA WATER N INFRA SOL L,DENTA
DEV INFO TECHNOLOGY,DEVIT
DEV ACCELERATOR,DEVX
DEVYANI INTERNATIONAL,DEVYANI
DIGICONTENT,DGCONTENT
DHAMPUR SUGAR MILLS,DHAMPURSUG
DHANLAXMI BANK,DHANBANK
DHANI SERVICES,DHANI
DHANUKA AGRITECH,DHANUKA
DHARMAJ CROP GUARD,DHARMAJ
DHRUV CONSULTANCY SER,DHRUV
DHUNSERI INVESTMENTS,DHUNINV
DIAMOND POWER INFRA,DIACABS
DIAMINES & CHEMICALS,DIAMINESQ
PRATAAP SNACKS,DIAMONDYD
DIC INDIA,DICIND
DIFFUSION ENGINEERS,DIFFNKG
DIGIDRIVE DISTRIBUTORS L,DIGIDRIVE
DIGITIDE SOLUTIONS,DIGITIDE
DEBOCK INDUSTRIES,DIL
DISH TV INDIA,DISHTV
DIVGI TORQTRANSFER SYST L,DIVGIITTS
DIVI S LABORATORIES,DIVISLAB
DIXON TECHNO (INDIA),DIXON
DJ MEDIAPRINT & LOG,DJML
DLF,DLF
D-LINK INDIA,DLINKINDIA
AVENUE SUPERMARTS,DMART
DMCC SPECIALITY CHEMICALS,DMCC
DILIGENT MEDIA CORP,DNAMEDIA
DODLA DAIRY,DODLA
DOLAT ALGOTECH,DOLATALGO
DOLLAR INDUSTRIES,DOLLAR
DOLPHIN OFF ENT (IND) L,DOLPHIN
DOMS INDUSTRIES,DOMS
DONEAR IND.,DONEAR
D. P. ABHUSHAN,DPABHUSHAN
DPSC,DPSCLTD
D P WIRES,DPWIRES
DRC SYSTEMS INDIA,DRCSYSTEMS
DREAMFOLKS SERVICES,DREAMFOLKS
DREDGING CORP OF INDIA,DREDGECORP
DR. REDDY S LABORATORIES,DRREDDY
DYNACONS SYS & SOLN,DSSL
DHUNSERI TEA & IND.,DTIL
DUCON INFRATECHNOLOGIES L,DUCON
DHUNSERI VENTURES,DVL
DWARIKESH SUGAR IND,DWARKESH
DYNAMIC CABLES,DYCL
DYNAMATIC TECHNOLOGIES,DYNAMATECH
DYNEMIC PRODUCTS,DYNPRO
E2E NETWORKS,E2E
EASY TRIP PLANNERS,EASEMYTRIP
EDELAMC - EBANKNIFTY,EBANKNIFTY
GNG ELECTRONICS,EBGNG
EDELAMC - ECAPINSURE,ECAPINSURE
ECLERX SERVICES,ECLERX
ECOS (INDIA) MOB & HOSP L,ECOSMOBLTY
EDELWEISS FIN SERV,EDELWEISS
EFC (I),EFCIL
EDELAMC - EGOLD,EGOLD
EICHER MOTORS,EICHERMOT
EID PARRY INDIA,EIDPARRY
ENVIRO INFRA ENGINEERS L,EIEL
EURO (I) FRESH FOODS,EIFFL
EIH ASSOCIATED HOTELS - OBEROI HOTELS,EIHAHOTELS
EIH - OBEROI HOTELS,EIHOTEL
EIMCO ELECON (INDIA),EIMCOELECO
EVEREST KANTO CYLINDERLTD,EKC
ELDECO HSG & IND,ELDEHSG
ELECON ENG. CO.,ELECON
ELECTROSTEEL CASTINGS,ELECTCAST
ELECTROTHERM (I),ELECTHERM
ELGI EQUIPMENTS,ELGIEQUIP
ELIN ELECTRONICS,ELIN
